Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
NVDA,900,15.00,BUY,BOUGHT NVIDIA CORP,2023-01-10,2023-01-12,0,-13500.00,0,0,,Trade
MSFT,70,240.00,BUY,BOUGHT MICROSOFT CORP,2023-01-20,2023-01-22,0,-16800.00,0,0,,Trade
GOOGL,160,95.00,BUY,BOUGHT ALPHABET INC,2023-02-06,2023-02-08,0,-15200.00,0,0,,Trade
AVGO,200,60.00,BUY,BOUGHT BROADCOM INC,2023-02-21,2023-02-23,0,-12000.00,0,0,,Trade
PLTR,900,8.00,BUY,BOUGHT PALANTIR TECH,2023-03-13,2023-03-15,0,-7200.00,0,0,,Trade
TSM,100,90.00,BUY,BOUGHT TAIWAN SEMI ADR,2023-04-03,2023-04-05,0,-9000.00,0,0,,Trade
NVDA,300,48.00,BUY,BOUGHT NVIDIA CORP,2023-11-15,2023-11-17,0,-14400.00,0,0,,Trade
NVDA,200,120.00,SELL,SOLD NVIDIA CORP,2024-08-20,2024-08-22,0,24000.00,0,0,,Trade
TSM,60,175.00,SELL,SOLD TAIWAN SEMI ADR,2024-09-10,2024-09-12,0,10500.00,0,0,,Trade
PLTR,300,38.00,SELL,SOLD PALANTIR TECH,2024-10-08,2024-10-10,0,11400.00,0,0,,Trade
AVGO,80,165.00,SELL,SOLD BROADCOM INC,2024-11-05,2024-11-07,0,13200.00,0,0,,Trade
