Symbol,Quantity,Price,Action,TradeDate,RecordType
CVX,30,152.00,BUY,2023-05-01,Trade
CVS,30,75.00,BUY,2023-07-03,Trade
PYPL,20,70.00,BUY,2023-08-01,Trade
F,300,12.00,BUY,2023-08-01,Trade
CVX,30,175.00,SELL,2023-09-15,Trade
VZ,90,38.00,BUY,2023-10-01,Trade
CVS,40,62.00,BUY,2023-11-01,Trade
PYPL,40,58.00,BUY,2024-01-02,Trade
INTC,40,49.00,BUY,2024-01-15,Trade
F,150,13.00,SELL,2024-02-01,Trade
INTC,60,40.00,BUY,2024-04-01,Trade
CVS,50,55.00,BUY,2024-05-01,Trade
INTC,100,31.00,BUY,2024-07-01,Trade
INTC,250,20.00,BUY,2024-09-03,Trade
