Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
TSLA,100,180.00,BUY,BOUGHT TSLA,2024-05-01,2024-05-03,0,-18000.00,0,0,,Trade
TSLA,100,182.50,SELL,SOLD TSLA,2024-05-01,2024-05-03,0,18250.00,0,0,,Trade
NVDA,80,83.00,BUY,BOUGHT NVDA,2024-05-01,2024-05-03,0,-6640.00,0,0,,Trade
NVDA,80,84.60,SELL,SOLD NVDA,2024-05-01,2024-05-03,0,6768.00,0,0,,Trade
AMD,120,157.00,BUY,BOUGHT AMD,2024-05-02,2024-05-04,0,-18840.00,0,0,,Trade
AMD,120,159.20,SELL,SOLD AMD,2024-05-02,2024-05-04,0,19104.00,0,0,,Trade
AAPL,90,185.00,BUY,BOUGHT AAPL,2024-05-02,2024-05-04,0,-16650.00,0,0,,Trade
AAPL,90,184.10,SELL,SOLD AAPL,2024-05-02,2024-05-04,0,16569.00,0,0,,Trade
TSLA,110,178.00,BUY,BOUGHT TSLA,2024-05-03,2024-05-05,0,-19580.00,0,0,,Trade
TSLA,110,181.00,SELL,SOLD TSLA,2024-05-03,2024-05-05,0,19910.00,0,0,,Trade
META,40,465.00,BUY,BOUGHT META,2024-05-06,2024-05-08,0,-18600.00,0,0,,Trade
META,40,470.50,SELL,SOLD META,2024-05-06,2024-05-08,0,18820.00,0,0,,Trade
NVDA,70,90.00,BUY,BOUGHT NVDA,2024-05-07,2024-05-09,0,-6300.00,0,0,,Trade
NVDA,70,88.80,SELL,SOLD NVDA,2024-05-07,2024-05-09,0,6216.00,0,0,,Trade
SPY,60,512.00,BUY,BOUGHT SPY,2024-05-08,2024-05-10,0,-30720.00,0,0,,Trade
SPY,60,513.20,SELL,SOLD SPY,2024-05-08,2024-05-10,0,30792.00,0,0,,Trade
AMD,100,152.00,BUY,BOUGHT AMD,2024-05-09,2024-05-11,0,-15200.00,0,0,,Trade
AMD,100,154.40,SELL,SOLD AMD,2024-05-09,2024-05-11,0,15440.00,0,0,,Trade
TSLA,90,172.00,BUY,BOUGHT TSLA,2024-05-10,2024-05-12,0,-15480.00,0,0,,Trade
TSLA,90,169.50,SELL,SOLD TSLA,2024-05-10,2024-05-12,0,15255.00,0,0,,Trade
NVDA,85,91.00,BUY,BOUGHT NVDA,2024-05-13,2024-05-15,0,-7735.00,0,0,,Trade
NVDA,85,92.40,SELL,SOLD NVDA,2024-05-13,2024-05-15,0,7854.00,0,0,,Trade
AAPL,95,188.00,BUY,BOUGHT AAPL,2024-05-14,2024-05-16,0,-17860.00,0,0,,Trade
AAPL,95,187.20,SELL,SOLD AAPL,2024-05-14,2024-05-16,0,17784.00,0,0,,Trade
META,35,472.00,BUY,BOUGHT META,2024-05-15,2024-05-17,0,-16520.00,0,0,,Trade
META,35,476.10,SELL,SOLD META,2024-05-15,2024-05-17,0,16663.50,0,0,,Trade
AMD,110,160.00,BUY,BOUGHT AMD,2024-05-16,2024-05-18,0,-17600.00,0,0,,Trade
AMD,110,162.60,SELL,SOLD AMD,2024-05-16,2024-05-18,0,17886.00,0,0,,Trade
