Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
XOM,50,108.00,BUY,BOUGHT EXXON MOBIL,2023-02-01,2023-02-03,0,-5400.00,0,0,,Trade
JPM,35,140.00,BUY,BOUGHT JPMORGAN CHASE,2023-02-15,2023-02-17,0,-4900.00,0,0,,Trade
CAT,18,230.00,BUY,BOUGHT CATERPILLAR INC,2023-03-01,2023-03-03,0,-4140.00,0,0,,Trade
JNJ,30,150.00,BUY,BOUGHT JOHNSON JOHNSON,2023-03-08,2023-03-10,0,-4500.00,0,0,,Trade
KO,80,60.00,BUY,BOUGHT COCA COLA CO,2023-03-15,2023-03-17,0,-4800.00,0,0,,Trade
DUK,50,96.00,BUY,BOUGHT DUKE ENERGY,2023-04-03,2023-04-05,0,-4800.00,0,0,,Trade
PG,35,152.00,BUY,BOUGHT PROCTER GAMBLE,2023-04-18,2023-04-20,0,-5320.00,0,0,,Trade
CVX,28,165.00,BUY,BOUGHT CHEVRON CORP,2023-05-02,2023-05-04,0,-4620.00,0,0,,Trade
HON,25,195.00,BUY,BOUGHT HONEYWELL INTL,2023-05-16,2023-05-18,0,-4875.00,0,0,,Trade
BAC,120,28.00,BUY,BOUGHT BANK OF AMERICA,2023-06-01,2023-06-03,0,-3360.00,0,0,,Trade
SO,55,70.00,BUY,BOUGHT SOUTHERN CO,2023-06-15,2023-06-17,0,-3850.00,0,0,,Trade
KO,80,64.00,SELL,SOLD COCA COLA CO,2023-10-16,2023-10-18,0,5120.00,0,0,,Trade
XOM,50,102.00,SELL,SOLD EXXON MOBIL,2023-11-01,2023-11-03,0,5100.00,0,0,,Trade
CAT,18,270.00,SELL,SOLD CATERPILLAR INC,2023-12-01,2023-12-03,0,4860.00,0,0,,Trade
BAC,120,26.00,SELL,SOLD BANK OF AMERICA,2024-01-15,2024-01-17,0,3120.00,0,0,,Trade
