Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
SHOP,70,78.00,BUY,BOUGHT SHOPIFY INC,2024-01-08,2024-01-10,0,-5460.00,0,0,,Trade
SHOP,70,82.00,SELL,SOLD SHOPIFY INC,2024-01-10,2024-01-12,0,5740.00,0,0,,Trade
SHOP,60,82.00,BUY,BOUGHT SHOPIFY INC,2024-02-05,2024-02-07,0,-4920.00,0,0,,Trade
SHOP,60,74.00,SELL,SOLD SHOPIFY INC,2024-03-20,2024-03-22,0,4440.00,0,0,,Trade
SHOP,65,76.00,BUY,BOUGHT SHOPIFY INC,2024-04-02,2024-04-04,0,-4940.00,0,0,,Trade
SHOP,65,80.00,SELL,SOLD SHOPIFY INC,2024-04-05,2024-04-07,0,5200.00,0,0,,Trade
ABNB,40,148.00,BUY,BOUGHT AIRBNB INC,2024-01-15,2024-01-17,0,-5920.00,0,0,,Trade
ABNB,40,155.00,SELL,SOLD AIRBNB INC,2024-01-18,2024-01-20,0,6200.00,0,0,,Trade
ABNB,35,162.00,BUY,BOUGHT AIRBNB INC,2024-02-12,2024-02-14,0,-5670.00,0,0,,Trade
ABNB,35,148.00,SELL,SOLD AIRBNB INC,2024-03-28,2024-03-30,0,5180.00,0,0,,Trade
ABNB,30,150.00,BUY,BOUGHT AIRBNB INC,2024-05-06,2024-05-08,0,-4500.00,0,0,,Trade
ABNB,30,158.00,SELL,SOLD AIRBNB INC,2024-05-08,2024-05-10,0,4740.00,0,0,,Trade
UBER,60,80.00,BUY,BOUGHT UBER TECH,2024-03-04,2024-03-06,0,-4800.00,0,0,,Trade
UBER,60,84.00,SELL,SOLD UBER TECH,2024-03-15,2024-03-17,0,5040.00,0,0,,Trade
PYPL,75,62.00,BUY,BOUGHT PAYPAL HOLDINGS,2024-04-01,2024-04-03,0,-4650.00,0,0,,Trade
PYPL,75,65.00,SELL,SOLD PAYPAL HOLDINGS,2024-04-09,2024-04-11,0,4875.00,0,0,,Trade
